DSM ID (monitor C code),Proposed SMAX canonical name,Confidence,Alternatives / notes (if not HIGH),Verified,C source file(s) (cursesmonitor/src),Display JSON file(s)
"DSM_ANT{ant}_UPS_POWER_OUTS (dsmGetElement, upspage.c:439; already resolved in ups.json, not a placeholder)",DSM:acc{ant}:UPS_DATA_X:NUMBER_OF_POWER_OUTAGES_S,HIGH,"C-code verified at upspage.c:439. Source-file citation corrected: upspage2.c/upspage3.c do NOT read this per-antenna UPS_DATA_X structure — they read a separate UPS_ENET_DATA_X structure (node obscon, _V24_-suffixed field names) for the Correlator Room / Equipment Room UPS units, which has no corresponding rows/cells in ups.json at all (a real coverage gap, not a placeholder-mapping issue). No CSV rows exist yet for that Corr Room/Equipment Room UPS system — a real display-coverage gap Marc may want a separate ticket/section for, not something in scope for this placeholder-mapping pass.",x,upspage.c,ups.json
"DSM_ANT{ant}_UPS_ALARMS (dsmGetElement, upspage.c:504; already resolved in ups.json, not a placeholder)",DSM:acc{ant}:UPS_DATA_X:ACTIVE_ALARMS_L,HIGH,"C-code verified at upspage.c:504. Source-file citation corrected: upspage2.c/upspage3.c do NOT read this per-antenna UPS_DATA_X structure — they read a separate UPS_ENET_DATA_X structure (node obscon, _V24_-suffixed field names) for the Correlator Room / Equipment Room UPS units, which has no corresponding rows/cells in ups.json at all (a real coverage gap, not a placeholder-mapping issue). No CSV rows exist yet for that Corr Room/Equipment Room UPS system — a real display-coverage gap Marc may want a separate ticket/section for, not something in scope for this placeholder-mapping pass.",x,upspage.c,ups.json
"DSM_JCMT_TEMP (dsm_structure_get_element, weather.c:724; live field name is bare ""TEMP_F""/""HUMIDITY_F""/""WINDSPEED_F"" — the old commented-out call_dsm_read used a longer DSM_<SITE>_* name)",DSM:colossus:JCMT_METEOROLOGY_X:TEMP_F,HIGH,"C-code verified: the active read is dsm_structure_get_element(&xWeather,""TEMP_F""/etc,...) at weather.c:724, superseding an older commented-out call_dsm_read(""DSM_HOST"",""DSM_<SITE>_TEMP_F"",...) with a different literal string. Both target the same live field.",x,weather.c; weatherPage2.c,weather.json
"DSM_JCMT_HUMIDITY (dsm_structure_get_element, weather.c:962; live field name is bare ""TEMP_F""/""HUMIDITY_F""/""WINDSPEED_F"" — the old commented-out call_dsm_read used a longer DSM_<SITE>_* name)",DSM:colossus:JCMT_METEOROLOGY_X:HUMIDITY_F,HIGH,"C-code verified: the active read is dsm_structure_get_element(&xWeather,""TEMP_F""/etc,...) at weather.c:962, superseding an older commented-out call_dsm_read(""DSM_HOST"",""DSM_<SITE>_TEMP_F"",...) with a different literal string. Both target the same live field.",x,weather.c; weatherPage2.c,weather.json
"DSM_JCMT_WINDSPEED (dsm_structure_get_element, weather.c:1264; live field name is bare ""TEMP_F""/""HUMIDITY_F""/""WINDSPEED_F"" — the old commented-out call_dsm_read used a longer DSM_<SITE>_* name)",DSM:colossus:JCMT_METEOROLOGY_X:WINDSPEED_F,HIGH,"C-code verified: the active read is dsm_structure_get_element(&xWeather,""TEMP_F""/etc,...) at weather.c:1264, superseding an older commented-out call_dsm_read(""DSM_HOST"",""DSM_<SITE>_TEMP_F"",...) with a different literal string. Both target the same live field.",x,weather.c; weatherPage2.c,weather.json
"DSM_SUBARU_TEMP (dsm_structure_get_element, weather.c:749; live field name is bare ""TEMP_F""/""HUMIDITY_F""/""WINDSPEED_F"" — the old commented-out call_dsm_read used a longer DSM_<SITE>_* name)",DSM:colossus:SUBARU_METEOROLOGY_X:TEMP_F,HIGH,"C-code verified: the active read is dsm_structure_get_element(&xWeather,""TEMP_F""/etc,...) at weather.c:749, superseding an older commented-out call_dsm_read(""DSM_HOST"",""DSM_<SITE>_TEMP_F"",...) with a different literal string. Both target the same live field.",x,weather.c; weatherPage2.c,weather.json
"DSM_SUBARU_HUMIDITY (dsm_structure_get_element, weather.c:994; live field name is bare ""TEMP_F""/""HUMIDITY_F""/""WINDSPEED_F"" — the old commented-out call_dsm_read used a longer DSM_<SITE>_* name)",DSM:colossus:SUBARU_METEOROLOGY_X:HUMIDITY_F,HIGH,"C-code verified: the active read is dsm_structure_get_element(&xWeather,""TEMP_F""/etc,...) at weather.c:994, superseding an older commented-out call_dsm_read(""DSM_HOST"",""DSM_<SITE>_TEMP_F"",...) with a different literal string. Both target the same live field.",x,weather.c; weatherPage2.c,weather.json
"DSM_UKIRT_TEMP (dsm_structure_get_element, weather.c:773; live field name is bare ""TEMP_F""/""HUMIDITY_F""/""WINDSPEED_F"" — the old commented-out call_dsm_read used a longer DSM_<SITE>_* name)",DSM:colossus:UKIRT_METEOROLOGY_X:TEMP_F,HIGH,"C-code verified: the active read is dsm_structure_get_element(&xWeather,""TEMP_F""/etc,...) at weather.c:773, superseding an older commented-out call_dsm_read(""DSM_HOST"",""DSM_<SITE>_TEMP_F"",...) with a different literal string. Both target the same live field.",x,weather.c; weatherPage2.c,weather.json
DSM_TAU225_GFS,weather:forecast:gfs:tau225,HIGH,"C-code verified: read via smaxLazyPull(""weather:forecast:gfs"",""tau225"",...) at arrayMonitor.c:1618 — a newer SMA-X-style key, not a legacy DSM:/RM: name.",x,weather.c; weatherPage2.c,weather.json
"(no C-code read found — RM_DIPFIT_IF2_TAU_ZENITH_TIMESTAMP_L is read only inside an if(0)-guarded block at weatherPage2.c:399, with the code comment ""RM variable does not exist"")",(no match found),NO MATCH,"Reconfirmed NO MATCH, with unusually strong evidence: weatherPage2.c itself contains this exact field guarded by `if(0)` with a comment stating the RM variable does not exist — this is the C-code author's own acknowledgment that no live skydip-age field is available, not just an absence in this review.",,weather.c; weatherPage2.c,weather.json
"RM_DIPFIT_FREQUENCY_F (rmRead, weatherPage2.c:385, label ""DpftFreqLow""; placeholder was DSM_ANT{ant}_TAU_FREQ)",RM:acc{ant}:RM_DIPFIT_FREQUENCY_F,HIGH,"Corrected from NO MATCH: weatherPage2.c:385 reads RM_DIPFIT_FREQUENCY_F (dipfit = atmospheric dip-fit model) per antenna — a direct match for ""Tau at freq"". Confirmed live as RM:acc{ant}:RM_DIPFIT_FREQUENCY_F (RM: prefix, no DSM node, per the wacko_validity_review.md finding). RM_IF2_DIPFIT_FREQUENCY_F (:441, ""DpftFreqHigh"") is the second-IF sibling",,weather.c; weatherPage2.c,weather.json
"RM_DIPFIT_TAU_ZENITH_F (rmRead, weatherPage2.c:352, label ""DipfitTauLow""; placeholder was DSM_ANT{ant}_TAU225)",RM:acc{ant}:RM_DIPFIT_TAU_ZENITH_F,HIGH,"Corrected from NO MATCH: weatherPage2.c:352 reads RM_DIPFIT_TAU_ZENITH_F (zenith opacity from the per-antenna dip-fit model) — a direct match for a per-antenna ""Tau225"" cell. Confirmed live as RM:acc{ant}:RM_DIPFIT_TAU_ZENITH_F. RM_IF2_DIPFIT_TAU_ZENITH_F (:408, ""DpftTauHigh"") is the second-IF sibling",,weather.c; weatherPage2.c,weather.json
